state_code,state,district_number,district_code,dem_candidate,rep_candidate,dem_votes,rep_votes,dem_per,rep_per,winner
MI,Michigan,13,MI13,Carolyn Cheeks Kilpatrick,None,126308.0,0.0,99.98812567782588,0.0,Democrat
MI,Michigan,14,MI14,John Conyers Jr.,Chad Miles,158755.0,27367.0,85.29620356540335,14.703796434596663,Democrat
MI,Michigan,15,MI15,John D. Dingell,None,181946.0,0.0,87.95270413983796,0.0,Democrat
MI,Michigan,02,MI02,Kimon Kotos,Pete Hoekstra,86950.0,183006.0,31.572946396798766,66.45242815747619,Republican
MI,Michigan,03,MI03,James R. Rinck,Vernon J. Ehlers,93846.0,171212.0,34.58459860255314,63.095904950028,Republican
MI,Michigan,04,MI04,Michael R. Huckleberry,Dave Camp,100260.0,160041.0,37.94206134458552,60.565384397055766,Republican
MI,Michigan,05,MI05,Dale E. Kildee,Eric J. Klammer,176171.0,60967.0,72.89100545738152,25.225184222829977,Democrat
MI,Michigan,06,MI06,Kim Clark,Fred Upton,88978.0,142125.0,37.93028480324661,60.58623173887281,Republican
MI,Michigan,07,MI07,Sharon Marie Renier,Tim Walberg,112665.0,122348.0,45.98083468693118,49.93266020748818,Republican
MI,Michigan,08,MI08,Jim Marcinkowski,Mike Rogers,122107.0,157237.0,42.92423480776599,55.273472515651854,Republican
MI,Michigan,09,MI09,Nancy Skinner,Joseph K. Knollenberg,127620.0,142390.0,46.208994134260266,51.55695560866101,Republican
MN,Minnesota,01,MN01,Tim Walz,Gilbert W. Gutknecht,141556.0,126486.0,52.73655936010968,47.12224453377344,Democrat
MN,Minnesota,02,MN02,Coleen Rowley,John Kline,116343.0,163269.0,40.04371170923109,56.19501617677428,Republican
MN,Minnesota,03,MN03,Wendy Wilde,James M. Ramstad,99588.0,184333.0,35.03609574872293,64.85026948677897,Republican
MN,Minnesota,04,MN04,Betty McCollum,Obi Sium,172096.0,74797.0,69.54329079550322,30.22516224451036,Democrat
MN,Minnesota,05,MN05,Keith Ellison,Alan Fine,136060.0,52263.0,55.5562360915457,21.340111471795183,Democrat
